Terminal,Date,CruiseLine,ShipName,EmbarkPAX,DebarkPAX,In-TransitPAX,TotalPAX,SPConnect,Usage(kWh),CallDuration,ConnectionDuration
MCT,9/3/2022,Atlantic Cruises,BWM,922,1206,38,2166,No ,0,1:58:47,0:00:00
BCT,2/4/2022,American Cruises,Spinner,2634,2634,550,5818,Yes,46393,5:57:22,5:57:22
MCT,2/17/2022,Arctic Cruises,Peregrine,2203,2159,24,4386,No ,0,2:01:31,0:00:00
MCT,2/17/2022,Atlantic Cruises,Mercedes,1911,2193,31,4135,No ,0,8:46:56,0:00:00
MCT,2/8/2022,Pacific Cruises,Jaguar,5,3,135,143,No ,0,12:38:16,0:00:00
BCT,6/1/2022,American Cruises,Bottlenose,5300,5300,1458,12058,Yes,43033,5:52:34,5:52:34
MCT,3/30/2022,Atlantic Cruises,Mercedes,2296,1914,24,4234,No ,0,19:22:25,0:00:00
MCT,5/9/2022,American Cruises,Bottlenose,2461,2271,38,4770,No ,0,18:54:01,0:00:00
MCT,8/8/2022,Atlantic Cruises,Mercedes,2906,2469,27,5402,No ,0,20:45:11,0:00:00
BCT,7/16/2022,Pacific Cruises,Tiger,5754,5754,1457,12965,Yes,26637,3:45:57,3:45:57
MCT,4/8/2022,American Cruises,Bottlenose,2728,2912,16,5656,No ,0,13:36:13,0:00:00
MCT,10/26/2022,Pacific Cruises,Tiger,388,415,8,811,No ,0,1:41:42,0:00:00
MCT,1/7/2022,Arctic Cruises,Kestrel,2636,2713,28,5377,No ,0,13:19:00,0:00:00
MCT,1/14/2022,Pacific Cruises,Jaguar,3945,4,16,3965,No ,0,23:44:19,0:00:00
MCT,6/22/2022,Arctic Cruises,Red Feather,3286,2638,20,5944,No ,0,23:23:03,0:00:00
MCT,8/27/2022,Arctic Cruises,Peregrine,4278,3943,38,8259,No ,0,18:35:46,0:00:00
MCT,8/1/2022,Atlantic Cruises,Audi,4071,3280,26,7377,No ,0,18:37:03,0:00:00
MCT,1/24/2022,American Cruises,Orca,4211,4285,43,8539,No ,0,7:18:23,0:00:00
BCT,12/9/2022,Pacific Cruises,Jaguar,4037,4037,551,8625,Yes,58271,6:50:33,6:50:33
MCT,8/28/2022,American Cruises,Bottlenose,3744,4075,17,7836,No ,0,20:46:52,0:00:00
MCT,12/19/2022,American Cruises,Spinner,620,390,14,1024,No ,0,14:11:04,0:00:00
MCT,2/13/2022,Atlantic Cruises,Mercedes,4225,4206,12,8443,No ,0,4:59:28,0:00:00
BCT,5/10/2022,Pacific Cruises,Lion,55,55,3097,3207,Yes,58067,7:03:02,7:03:02
MCT,4/8/2022,American Cruises,Orca,3595,3747,12,7354,No ,0,16:37:55,0:00:00
MCT,11/24/2022,American Cruises,Spinner,595,597,18,1210,No ,0,18:53:47,0:00:00
MCT,8/18/2022,Pacific Cruises,Jaguar,4039,4218,30,8287,No ,0,7:29:33,0:00:00
MCT,3/15/2022,American Cruises,Orca,3742,3578,22,7342,No ,0,2:12:36,0:00:00
MCT,5/19/2022,Atlantic Cruises,Audi,4120,4043,37,8200,No ,0,12:20:28,0:00:00
MCT,3/29/2022,American Cruises,Orca,591,595,19,1205,No ,0,11:15:03,0:00:00
MCT,2/18/2022,Pacific Cruises,Tiger,4194,3753,12,7959,No ,0,12:55:05,0:00:00
MCT,12/8/2022,American Cruises,Bottlenose,4249,4124,23,8396,No ,0,15:43:44,0:00:00
MCT,6/20/2022,Pacific Cruises,Tiger,580,591,17,1188,No ,0,9:33:39,0:00:00
BCT,11/13/2022,Arctic Cruises,Kestrel,5183,5183,214,10580,No ,0,11:57:05,0:00:00
MCT,1/30/2022,American Cruises,Bottlenose,3762,4186,12,7960,No ,0,4:07:00,0:00:00
MCT,10/21/2022,Atlantic Cruises,BWM,4257,4237,21,8515,No ,0,15:33:38,0:00:00
BCT,11/27/2022,Arctic Cruises,Peregrine,4617,4617,2478,11712,No ,0,1:03:58,0:00:00
BCT,7/15/2022,Atlantic Cruises,BWM,5242,5242,1090,11574,Yes,64907,7:21:30,7:21:30
MCT,12/22/2022,American Cruises,Spinner,4057,3758,12,7827,No ,0,1:13:40,0:00:00
MCT,8/3/2022,Atlantic Cruises,BWM,4137,4260,6,8403,No ,0,11:13:13,0:00:00
MCT,10/23/2022,Atlantic Cruises,Audi,3603,4047,26,7676,No ,0,3:26:04,0:00:00
MCT,6/16/2022,Atlantic Cruises,Mercedes,4078,4135,7,8220,No ,0,8:20:01,0:00:00
MCT,9/23/2022,Atlantic Cruises,BWM,4125,0,17,4142,No ,0,8:05:05,0:00:00
MCT,7/11/2022,Pacific Cruises,Lion,4042,4070,12,8124,No ,0,14:44:08,0:00:00
MCT,4/9/2022,Pacific Cruises,Jaguar,3345,3602,15,6962,No ,0,12:27:48,0:00:00
BCT,6/23/2022,Pacific Cruises,Jaguar,5084,5084,1612,11780,Yes,55951,6:30:16,6:30:16
MCT,7/16/2022,Arctic Cruises,Red Feather,3965,4128,11,8104,No ,0,21:19:41,0:00:00
MCT,9/21/2022,Atlantic Cruises,BWM,4380,2,4,4386,No ,0,18:07:58,0:00:00
BCT,4/27/2022,Pacific Cruises,Jaguar,1453,1453,2415,5321,No ,0,1:32:50,0:00:00
MCT,3/30/2022,Arctic Cruises,Peregrine,4047,4159,16,8222,No ,0,9:07:46,0:00:00
MCT,5/10/2022,Pacific Cruises,Jaguar,3696,3322,18,7036,No ,0,18:24:15,0:00:00
MCT,1/29/2022,Pacific Cruises,Jaguar,1197,4363,20,5580,No ,0,6:13:07,0:00:00
MCT,9/22/2022,Arctic Cruises,Peregrine,3210,3953,20,7183,No ,0,4:19:46,0:00:00
MCT,5/10/2022,Pacific Cruises,Tiger,3757,4161,17,7935,No ,0,20:58:26,0:00:00
MCT,12/13/2022,Atlantic Cruises,Mercedes,3667,2889,42,6598,No ,0,23:15:44,0:00:00
MCT,7/26/2022,Pacific Cruises,Lion,428,350,19,797,No ,0,20:28:45,0:00:00
MCT,10/7/2022,Atlantic Cruises,Audi,3361,3750,13,7124,No ,0,23:53:50,0:00:00
MCT,12/31/2022,Arctic Cruises,Red Feather,582,538,13,1133,No ,0,6:46:03,0:00:00
MCT,12/13/2022,Pacific Cruises,Lion,368,387,7,762,No ,0,3:01:35,0:00:00
MCT,8/26/2022,Atlantic Cruises,Mercedes,2752,3201,19,5972,No ,0,21:38:20,0:00:00
MCT,11/20/2022,American Cruises,Orca,1053,1180,35,2268,No ,0,16:51:35,0:00:00
MCT,2/2/2022,Pacific Cruises,Lion,-35,,,-35,No ,0,16:30:02,0:00:00
MCT,7/12/2022,American Cruises,Bottlenose,2868,2888,28,5784,No ,0,0:19:24,0:00:00
BCT,1/1/2022,Arctic Cruises,Red Feather,5588,5588,1079,12255,No ,0,10:37:32,0:00:00
BCT,10/18/2022,American Cruises,Orca,274,274,3387,3935,No ,0,10:15:41,0:00:00
MCT,9/20/2022,American Cruises,Bottlenose,3416,3363,13,6792,No ,0,9:13:46,0:00:00
MCT,7/1/2022,Atlantic Cruises,Audi,338,341,5,684,No ,0,13:24:38,0:00:00
MCT,4/21/2022,Atlantic Cruises,Mercedes,2988,2759,12,5759,No ,0,20:56:26,0:00:00
MCT,3/11/2022,American Cruises,Bottlenose,878,854,4,1736,No ,0,21:19:35,0:00:00
MCT,6/21/2022,Arctic Cruises,Peregrine,2456,1017,21,3494,No ,0,4:15:46,0:00:00
BCT,7/10/2022,Arctic Cruises,Kestrel,5162,5162,767,11091,Yes,38519,4:42:48,4:42:48
MCT,10/6/2022,Pacific Cruises,Jaguar,2970,2870,21,5861,No ,0,1:05:41,0:00:00
BCT,7/17/2022,Atlantic Cruises,Audi,1014,1014,468,2496,No ,0,17:14:39,0:00:00
MCT,11/12/2022,Arctic Cruises,Red Feather,4,4,1132,1140,No ,0,10:49:39,0:00:00
MCT,1/15/2022,American Cruises,Bottlenose,3414,3621,10,7045,No ,0,2:28:19,0:00:00
MCT,4/13/2022,American Cruises,Orca,3096,2973,19,6088,No ,0,0:47:55,0:00:00
MCT,6/27/2022,Atlantic Cruises,BWM,0,2467,8,2475,No ,0,11:18:09,0:00:00
MCT,4/17/2022,American Cruises,Orca,2,4,10,16,No ,0,6:52:43,0:00:00
MCT,7/20/2022,Arctic Cruises,Kestrel,2,3612,4,3618,No ,0,3:36:52,0:00:00
MCT,9/14/2022,Atlantic Cruises,Audi,1905,1490,43,3438,No ,0,19:10:54,0:00:00
BCT,1/18/2022,Atlantic Cruises,BWM,5258,5258,2884,13400,No ,0,23:26:31,0:00:00
MCT,9/1/2022,Arctic Cruises,Red Feather,613,611,7,1231,No ,0,17:53:04,0:00:00
MCT,5/8/2022,American Cruises,Bottlenose,418,432,0,850,No ,0,3:55:57,0:00:00
MCT,10/31/2022,American Cruises,Spinner,3542,3098,13,6653,No ,0,9:26:00,0:00:00
MCT,6/10/2022,Atlantic Cruises,Audi,0,0,2477,2477,No ,0,16:26:32,0:00:00
MCT,2/25/2022,Arctic Cruises,Red Feather,3562,2942,34,6538,No ,0,4:43:15,0:00:00
MCT,3/18/2022,American Cruises,Orca,2188,1931,16,4135,No ,0,22:37:31,0:00:00
BCT,9/19/2022,American Cruises,Spinner,2924,2924,1040,6888,No ,0,5:26:48,0:00:00
MCT,12/8/2022,Atlantic Cruises,Audi,2122,2124,12,4258,No ,0,7:30:05,0:00:00
BCT,3/26/2022,Arctic Cruises,Kestrel,3183,3183,799,7165,No ,0,9:26:46,0:00:00
BCT,6/8/2022,Pacific Cruises,Tiger,235,235,1079,1549,No ,0,8:53:55,0:00:00
MCT,2/13/2022,Pacific Cruises,Tiger,3410,3553,36,6999,No ,0,0:41:37,0:00:00
MCT,3/10/2022,Atlantic Cruises,Audi,3560,3523,18,7101,No ,0,7:22:44,0:00:00
BCT,10/18/2022,Arctic Cruises,Peregrine,839,839,913,2591,No ,0,14:00:28,0:00:00
MCT,8/27/2022,American Cruises,Orca,1906,2192,8,4106,No ,0,1:02:20,0:00:00
MCT,11/24/2022,Pacific Cruises,Lion,2881,2082,39,5002,No ,0,13:32:07,0:00:00
MCT,12/14/2022,Arctic Cruises,Red Feather,343,314,6,663,No ,0,11:41:26,0:00:00
MCT,5/26/2022,Pacific Cruises,Jaguar,2949,3415,30,6394,No ,0,7:27:57,0:00:00
MCT,1/25/2022,Arctic Cruises,Kestrel,349,343,6,698,No ,0,19:16:24,0:00:00
BCT,1/6/2022,Atlantic Cruises,Audi,5645,5645,2133,13423,No ,0,3:01:16,0:00:00
MCT,8/20/2022,American Cruises,Bottlenose,2107,2861,50,5018,No ,0,20:10:13,0:00:00
MCT,1/10/2022,American Cruises,Spinner,1712,1870,25,3607,No ,0,11:01:09,0:00:00
MCT,1/11/2022,Arctic Cruises,Red Feather,3334,3552,17,6903,No ,0,11:50:56,0:00:00
MCT,7/3/2022,Atlantic Cruises,Mercedes,379,373,6,758,No ,0,13:15:44,0:00:00
MCT,4/13/2022,Atlantic Cruises,Mercedes,1971,1721,32,3724,No ,0,9:54:14,0:00:00
MCT,3/21/2022,Atlantic Cruises,BWM,604,614,4,1222,No ,0,13:28:53,0:00:00
BCT,3/9/2022,Atlantic Cruises,Audi,4834,4834,1490,11158,No ,0,3:09:47,0:00:00
MCT,9/13/2022,American Cruises,Orca,3171,2929,42,6142,No ,0,9:37:18,0:00:00
MCT,2/28/2022,American Cruises,Spinner,3120,3330,11,6461,No ,0,9:02:06,0:00:00
MCT,7/10/2022,Atlantic Cruises,Mercedes,392,403,13,808,No ,0,10:38:59,0:00:00
BCT,1/7/2022,Arctic Cruises,Kestrel,5378,5378,856,11612,Yes,39519,5:15:26,5:15:26
MCT,6/23/2022,Pacific Cruises,Lion,2195,1966,41,4202,No ,0,1:16:57,0:00:00
MCT,5/17/2022,Atlantic Cruises,Audi,20,407,1487,1914,No ,0,14:04:22,0:00:00
BCT,12/25/2022,Pacific Cruises,Lion,185,185,1556,1926,No ,0,1:07:50,0:00:00
MCT,5/23/2022,American Cruises,Spinner,3083,3174,26,6283,No ,0,19:02:47,0:00:00
BCT,6/8/2022,Pacific Cruises,Tiger,2686,2686,1296,6668,No ,0,7:25:19,0:00:00
MCT,4/20/2022,Pacific Cruises,Tiger,2746,3094,36,5876,No ,0,17:43:00,0:00:00
MCT,9/22/2022,Pacific Cruises,Jaguar,1143,2194,20,3357,No ,0,17:06:45,0:00:00
MCT,4/12/2022,Arctic Cruises,Kestrel,262,241,38,541,No ,0,18:06:43,0:00:00
MCT,3/2/2022,Pacific Cruises,Jaguar,0,1,131,132,No ,0,22:23:00,0:00:00
MCT,6/11/2022,American Cruises,Bottlenose,248,7,913,1168,No ,0,2:53:38,0:00:00
BCT,7/21/2022,Pacific Cruises,Jaguar,2165,2165,228,4558,No ,0,12:36:51,0:00:00
MCT,5/4/2022,Arctic Cruises,Kestrel,3876,3075,26,6977,No ,0,5:03:12,0:00:00
MCT,2/25/2022,Pacific Cruises,Tiger,2386,2715,65,5166,No ,0,9:54:26,0:00:00
MCT,2/15/2022,Pacific Cruises,Tiger,12,23,337,372,No ,0,5:12:16,0:00:00
MCT,5/31/2022,Atlantic Cruises,Mercedes,6,9,612,627,No ,0,22:09:44,0:00:00
MCT,9/2/2022,Pacific Cruises,Jaguar,3407,3873,17,7297,No ,0,22:21:14,0:00:00
MCT,7/8/2022,Pacific Cruises,Jaguar,1,2418,7,2426,No ,0,1:46:33,0:00:00
MCT,3/8/2022,Pacific Cruises,Lion,4041,3406,18,7465,No ,0,17:02:34,0:00:00
BCT,6/17/2022,Arctic Cruises,Kestrel,2169,2169,108,4446,Yes,40149,5:20:48,5:20:48
MCT,1/1/2022,Pacific Cruises,Jaguar,3796,4029,23,7848,No ,0,13:45:59,0:00:00
MCT,1/8/2022,American Cruises,Spinner,0,3799,18,3817,No ,0,14:27:30,0:00:00
BCT,2/5/2022,Pacific Cruises,Lion,2365,2365,776,5506,No ,0,4:22:11,0:00:00
MCT,10/21/2022,Atlantic Cruises,Audi,0,3065,0,3065,No ,0,1:17:10,0:00:00
MCT,8/9/2022,Atlantic Cruises,Audi,4311,4,4,4319,No ,0,9:21:41,0:00:00
MCT,5/18/2022,Arctic Cruises,Red Feather,4498,1755,54,6307,No ,0,10:54:17,0:00:00
MCT,1/5/2022,Atlantic Cruises,Audi,4651,4290,12,8953,No ,0,21:57:54,0:00:00
BCT,6/12/2022,Arctic Cruises,Kestrel,651,651,2225,3527,Yes,40771,5:33:37,5:33:37
MCT,11/3/2022,American Cruises,Orca,2754,1176,26,3956,No ,0,14:32:58,0:00:00
MCT,11/27/2022,American Cruises,Orca,4821,4649,14,9484,No ,0,0:13:08,0:00:00
MCT,8/14/2022,Arctic Cruises,Peregrine,4399,4801,25,9225,No ,0,13:23:21,0:00:00
MCT,11/25/2023,American Cruises,Bottlenose,2200,2747,3,4950,No ,0,10:59:24,0:00:00
BCT,8/22/2023,Pacific Cruises,Lion,4542,4542,1665,10749,Yes,49091,6:30:17,6:30:17
MCT,10/17/2023,American Cruises,Spinner,3858,4396,30,8284,No ,0,3:08:47,0:00:00
MCT,1/27/2023,Atlantic Cruises,Mercedes,2787,2176,19,4982,No ,0,23:42:21,0:00:00
MCT,5/7/2023,Pacific Cruises,Lion,1536,2782,21,4339,No ,0,0:54:23,0:00:00
MCT,12/2/2023,Atlantic Cruises,Mercedes,341,332,1673,2346,No ,0,7:47:30,0:00:00
MCT,8/20/2023,Pacific Cruises,Tiger,3919,3863,27,7809,No ,0,0:09:02,0:00:00
MCT,8/16/2023,Pacific Cruises,Tiger,1542,1813,29,3384,No ,0,9:51:01,0:00:00
MCT,9/9/2023,Arctic Cruises,Peregrine,4453,3901,26,8380,No ,0,13:29:54,0:00:00
MCT,8/31/2023,Arctic Cruises,Peregrine,3959,4436,39,8434,No ,0,8:28:00,0:00:00
MCT,10/4/2023,Atlantic Cruises,Audi,2753,1503,13,4269,No ,0,22:30:56,0:00:00
MCT,10/5/2023,Arctic Cruises,Peregrine,4800,3977,25,8802,No ,0,15:06:18,0:00:00
MCT,9/14/2023,American Cruises,Bottlenose,4053,4804,17,8874,No ,0,6:21:42,0:00:00
MCT,10/18/2023,Pacific Cruises,Lion,2384,2749,12,5145,No ,0,23:51:25,0:00:00
MCT,8/25/2023,Arctic Cruises,Red Feather,4608,4039,16,8663,No ,0,23:28:59,0:00:00
MCT,10/23/2023,American Cruises,Orca,2495,2377,5,4877,No ,0,1:48:40,0:00:00
MCT,7/16/2023,Arctic Cruises,Peregrine,4254,4590,18,8862,No ,0,8:30:19,0:00:00
MCT,3/15/2023,Pacific Cruises,Jaguar,2389,2479,7,4875,No ,0,19:25:17,0:00:00
MCT,3/10/2023,Atlantic Cruises,Audi,4277,4247,11,8535,No ,0,6:17:17,0:00:00
MCT,10/7/2023,Atlantic Cruises,Mercedes,3476,3,10,3489,No ,0,14:59:14,0:00:00
MCT,8/28/2023,Atlantic Cruises,Mercedes,2145,2388,6,4539,No ,0,17:27:58,0:00:00
MCT,7/21/2023,Atlantic Cruises,Mercedes,3655,3451,21,7127,No ,0,6:26:17,0:00:00
MCT,7/16/2023,Atlantic Cruises,Mercedes,4701,4256,14,8971,No ,0,10:11:41,0:00:00
MCT,12/28/2023,American Cruises,Orca,2783,2130,2,4915,No ,0,7:10:47,0:00:00
MCT,5/16/2023,Atlantic Cruises,Mercedes,579,23,1664,2266,No ,0,8:20:57,0:00:00
MCT,2/6/2023,Atlantic Cruises,Audi,0,0,610,610,No ,0,8:20:54,0:00:00
MCT,8/11/2023,Pacific Cruises,Lion,3685,3652,19,7356,No ,0,21:23:12,0:00:00
MCT,1/9/2023,Pacific Cruises,Tiger,0,4699,2,4701,No ,0,22:24:29,0:00:00
MCT,9/22/2023,American Cruises,Bottlenose,2025,2749,13,4787,No ,0,17:06:40,0:00:00
MCT,4/8/2023,Arctic Cruises,Kestrel,3555,3691,9,7255,No ,0,11:12:00,0:00:00
MCT,1/28/2023,Pacific Cruises,Jaguar,0,632,1077,1709,No ,0,10:35:28,0:00:00
MCT,11/4/2023,American Cruises,Orca,0,3,361,364,No ,0,10:25:28,0:00:00
MCT,9/3/2023,American Cruises,Spinner,3583,0,4,3587,No ,0,18:33:44,0:00:00
MCT,3/17/2023,Pacific Cruises,Tiger,2083,0,8,2091,No ,0,10:06:22,0:00:00
MCT,12/16/2023,Arctic Cruises,Red Feather,19,28,1611,1658,No ,0,9:03:02,0:00:00
BCT,10/15/2023,Atlantic Cruises,BWM,5558,5558,547,11663,No ,0,16:38:27,0:00:00
MCT,4/21/2023,Pacific Cruises,Lion,3776,4312,52,8140,No ,0,4:29:36,0:00:00
MCT,10/29/2023,Atlantic Cruises,Mercedes,0,0,122,122,No ,0,13:52:55,0:00:00
MCT,8/23/2023,Atlantic Cruises,BWM,3339,3553,9,6901,No ,0,12:50:45,0:00:00
BCT,3/27/2023,Pacific Cruises,Jaguar,3601,3601,1402,8604,No ,0,22:31:31,0:00:00
MCT,8/1/2023,Pacific Cruises,Jaguar,3302,3331,12,6645,No ,0,2:47:11,0:00:00
BCT,10/15/2023,Arctic Cruises,Red Feather,2619,2619,802,6040,No ,0,4:42:58,0:00:00
MCT,6/30/2023,Pacific Cruises,Tiger,3257,3287,22,6566,No ,0,6:57:20,0:00:00
BCT,4/6/2023,Pacific Cruises,Tiger,3255,3255,1486,7996,No ,0,2:22:49,0:00:00
MCT,5/20/2023,Atlantic Cruises,Mercedes,4322,4,12,4338,No ,0,21:34:35,0:00:00
MCT,8/2/2023,Pacific Cruises,Tiger,2944,3252,22,6218,No ,0,0:13:21,0:00:00
MCT,12/11/2023,Arctic Cruises,Peregrine,280,217,1,498,No ,0,6:50:13,0:00:00
MCT,3/30/2023,Arctic Cruises,Red Feather,5,9,1763,1777,No ,0,2:34:16,0:00:00
BCT,4/6/2023,American Cruises,Orca,3031,3031,1293,7355,No ,0,14:41:54,0:00:00
MCT,1/10/2023,American Cruises,Bottlenose,4374,4318,14,8706,No ,0,7:06:59,0:00:00
BCT,9/2/2023,American Cruises,Orca,3053,3053,2869,8975,Yes,57404,7:13:41,7:13:41
BCT,3/17/2023,Atlantic Cruises,Audi,2665,2665,588,5918,No ,0,20:52:51,0:00:00
MCT,7/24/2023,Atlantic Cruises,BWM,4476,4373,14,8863,No ,0,12:25:24,0:00:00
MCT,2/12/2023,American Cruises,Bottlenose,465,463,5,933,No ,0,17:21:25,0:00:00
MCT,5/21/2023,Arctic Cruises,Red Feather,86,6,261,353,No ,0,0:13:03,0:00:00
MCT,4/20/2023,American Cruises,Orca,,9,1477,1486,No ,0,19:44:01,0:00:00
BCT,4/15/2023,Pacific Cruises,Tiger,4493,4493,,8986,No ,0,5:03:48,0:00:00
MCT,9/5/2023,Pacific Cruises,Jaguar,4461,4469,19,8949,No ,0,13:12:32,0:00:00
MCT,11/11/2023,Atlantic Cruises,Mercedes,889,884,5,1778,No ,0,18:48:20,0:00:00
BCT,2/11/2023,Pacific Cruises,Lion,3339,3339,,6678,No ,0,10:29:05,0:00:00
MCT,11/21/2023,Atlantic Cruises,BWM,4566,4456,20,9042,No ,0,11:31:50,0:00:00
MCT,5/7/2023,Atlantic Cruises,BWM,3616,4715,9,8340,No ,0,13:43:52,0:00:00
