Date,Vessel,Arrive,Connect,Include?,kWh,Disconnect,Depart
7/18/1965,06C8W0L9,07:54,10:07 AM,TRUE,15750.00,6:52 PM,8:53 PM
7/29/1965,Q7O9Y1JO,08:49,10:06 AM,TRUE,23333.33,7:26 PM,10:04 PM
8/8/1965,IW25XZVQ,08:07,10:53 AM,TRUE,17666.67,7:43 PM,9:25 PM
8/19/1965,F0O4LQOR,09:47,11:41 AM,FALSE,821.40,12:55 PM,1:55 PM
8/29/1965,ZH0YM4WS,09:09,10:19 AM,TRUE,68000.00,11:55 PM,1:18 AM
9/2/1965,06C8W0L9,10:41,1:25 PM,TRUE,6030.00,4:46 PM,6:21 PM
9/14/1965,2N3QBUN5,08:13,10:58 AM,TRUE,9435.00,10:04 PM,11:59 PM
9/23/1965,ZH0YM4WS,10:49,1:00 PM,TRUE,17333.33,4:28 PM,7:01 PM
10/6/1965,IW25XZVQ,09:32,11:52 AM,TRUE,6933.33,3:20 PM,5:36 PM
10/14/1965,6KA8EVQD,08:32,10:13 AM,TRUE,5166.67,3:23 PM,6:20 PM
10/22/1965,Q7O9Y1JO,09:06,10:50 AM,TRUE,29875.00,10:47 PM,12:42 AM
10/27/1965,2N3QBUN5,09:17,10:49 AM,TRUE,4094.17,3:38 PM,5:19 PM
11/1/1965,6KA8EVQD,09:54,11:59 AM,TRUE,8066.67,8:03 PM,9:13 PM
11/11/1965,IW25XZVQ,07:14,8:33 AM,TRUE,18500.00,5:48 PM,7:02 PM
11/18/1965,Q7O9Y1JO,07:18,8:39 AM,TRUE,9625.00,12:30 PM,1:52 PM
12/2/1965,6KA8EVQD,08:44,10:32 AM,TRUE,4333.33,2:52 PM,4:14 PM
12/11/1965,ZH0YM4WS,09:22,12:05 PM,FALSE,9333.33,1:57 PM,4:46 PM
12/19/1965,06C8W0L9,10:37,11:54 AM,TRUE,16740.00,9:12 PM,12:06 AM
12/27/1965,2N3QBUN5,08:33,11:32 AM,FALSE,-1005.83,10:21 AM,12:57 PM
1/10/1966,6KA8EVQD,07:40,8:49 AM,TRUE,10433.33,7:15 PM,9:50 PM
1/11/1966,E9BLOU9Y,09:17,11:23 AM,TRUE,22691.67,5:52 PM,8:15 PM
1/23/1966,Q7O9Y1JO,08:44,11:14 AM,TRUE,26708.33,9:55 PM,11:36 PM
2/1/1966,BGIHXU38,07:56,10:19 AM,TRUE,2920.00,12:45 PM,2:31 PM
2/11/1966,BGIHXU38,09:19,11:20 AM,TRUE,12220.00,9:31 PM,11:37 PM
2/12/1966,6KA8EVQD,08:29,10:42 AM,TRUE,8983.33,7:41 PM,9:47 PM
2/24/1966,BGIHXU38,08:15,11:00 AM,FALSE,2360.00,12:58 PM,3:40 PM
3/7/1966,IW25XZVQ,09:56,11:03 AM,TRUE,13033.33,5:34 PM,8:20 PM
3/17/1966,ZH0YM4WS,07:26,9:45 AM,TRUE,52916.67,8:20 PM,11:15 PM
3/21/1966,IW25XZVQ,07:18,9:39 AM,TRUE,16333.33,5:49 PM,8:31 PM
4/4/1966,E9BLOU9Y,10:22,11:28 AM,TRUE,14700.00,3:40 PM,6:10 PM
4/9/1966,06C8W0L9,09:40,11:37 AM,TRUE,4290.00,2:00 PM,4:15 PM
4/10/1966,F0O4LQOR,07:51,9:12 AM,TRUE,1554.00,11:32 AM,1:12 PM
4/17/1966,SRRWLW1X,09:16,12:04 PM,TRUE,9233.33,9:18 PM,11:33 PM
4/30/1966,2N3QBUN5,08:56,9:57 AM,FALSE,1190.00,11:21 AM,1:32 PM
5/12/1966,SRRWLW1X,09:09,11:52 AM,FALSE,-683.33,11:11 AM,1:42 PM
5/14/1966,ZH0YM4WS,09:00,11:59 AM,TRUE,45000.00,8:59 PM,10:23 PM
5/27/1966,BGIHXU38,07:38,10:26 AM,TRUE,6840.00,4:08 PM,6:34 PM
6/2/1966,06C8W0L9,07:23,9:53 AM,FALSE,3300.00,11:43 AM,1:44 PM
6/6/1966,F0O4LQOR,10:54,1:25 PM,TRUE,2397.60,5:01 PM,6:41 PM
6/18/1966,SRRWLW1X,08:03,9:39 AM,TRUE,11916.67,9:34 PM,11:40 PM
6/24/1966,Q7O9Y1JO,08:28,10:25 AM,TRUE,17791.67,5:32 PM,7:31 PM
6/26/1966,F0O4LQOR,10:30,12:31 PM,TRUE,5217.00,8:21 PM,10:21 PM
7/4/1966,BGIHXU38,08:21,9:59 AM,TRUE,11620.00,7:40 PM,8:53 PM
7/16/1966,06C8W0L9,07:42,10:05 AM,TRUE,15150.00,6:30 PM,8:16 PM
7/23/1966,BGIHXU38,10:29,12:05 PM,TRUE,8220.00,6:56 PM,9:15 PM
7/29/1966,BGIHXU38,07:25,8:37 AM,TRUE,9640.00,4:39 PM,7:05 PM
7/31/1966,F0O4LQOR,09:31,10:47 AM,TRUE,3685.20,4:19 PM,5:25 PM
8/14/1966,2N3QBUN5,09:51,12:13 PM,TRUE,10341.67,12:23 AM,1:25 AM
8/21/1966,ZH0YM4WS,10:30,11:56 AM,TRUE,27000.00,5:20 PM,8:17 PM
8/23/1966,Q7O9Y1JO,09:06,12:00 PM,FALSE,2041.67,12:49 PM,3:00 PM
9/2/1966,06C8W0L9,08:10,10:54 AM,TRUE,10140.00,4:32 PM,7:24 PM
9/16/1966,IW25XZVQ,10:57,12:59 PM,TRUE,12300.00,7:08 PM,9:20 PM
9/23/1966,E9BLOU9Y,10:08,11:27 AM,TRUE,13358.33,3:16 PM,5:42 PM
10/6/1966,Q7O9Y1JO,07:28,10:06 AM,TRUE,29000.00,9:42 PM,11:10 PM
10/9/1966,ZH0YM4WS,07:42,10:04 AM,TRUE,44583.33,6:59 PM,9:45 PM
10/13/1966,06C8W0L9,07:31,9:51 AM,TRUE,6660.00,1:33 PM,4:21 PM
10/20/1966,Q7O9Y1JO,09:55,12:44 PM,TRUE,6083.33,3:10 PM,5:09 PM
10/29/1966,6KA8EVQD,10:12,11:33 AM,TRUE,2583.33,2:08 PM,3:40 PM
11/7/1966,SRRWLW1X,07:31,9:55 AM,TRUE,9666.67,7:35 PM,9:26 PM
11/10/1966,SRRWLW1X,09:11,12:00 PM,FALSE,316.67,12:19 PM,2:32 PM
11/11/1966,2N3QBUN5,07:46,10:17 AM,FALSE,-85.00,10:11 AM,12:32 PM
11/14/1966,E9BLOU9Y,07:41,10:25 AM,TRUE,37508.33,9:08 PM,11:24 PM
11/18/1966,E9BLOU9Y,08:32,10:09 AM,TRUE,30100.00,6:45 PM,9:24 PM
12/1/1966,BGIHXU38,10:19,12:53 PM,TRUE,7180.00,6:52 PM,8:10 PM
12/14/1966,E9BLOU9Y,08:44,11:38 AM,TRUE,10966.67,2:46 PM,4:00 PM
12/23/1966,E9BLOU9Y,10:46,12:03 PM,TRUE,28058.33,8:04 PM,10:39 PM
1/5/1967,BGIHXU38,09:23,10:38 AM,TRUE,13800.00,10:08 PM,12:33 AM
1/12/1967,IW25XZVQ,08:19,10:55 AM,TRUE,15233.33,6:32 PM,8:01 PM
1/26/1967,E9BLOU9Y,08:49,11:43 AM,TRUE,21758.33,5:56 PM,8:55 PM
2/9/1967,6KA8EVQD,07:43,10:38 AM,FALSE,1250.00,11:53 AM,2:33 PM
2/16/1967,F0O4LQOR,08:56,11:17 AM,TRUE,3896.10,5:08 PM,7:47 PM
2/28/1967,IW25XZVQ,09:01,10:56 AM,TRUE,6366.67,2:07 PM,3:42 PM
3/7/1967,IW25XZVQ,09:52,12:14 PM,TRUE,15700.00,8:05 PM,10:36 PM
3/11/1967,Q7O9Y1JO,07:37,8:40 AM,TRUE,12833.33,1:48 PM,2:54 PM
3/15/1967,06C8W0L9,07:21,8:33 AM,TRUE,20310.00,7:50 PM,9:34 PM
3/23/1967,F0O4LQOR,10:45,12:46 PM,FALSE,111.00,12:56 PM,3:25 PM
3/27/1967,6KA8EVQD,07:44,10:35 AM,TRUE,10950.00,9:32 PM,12:20 AM
3/30/1967,E9BLOU9Y,10:27,12:22 PM,TRUE,15225.00,4:43 PM,7:12 PM
4/2/1967,F0O4LQOR,07:22,10:01 AM,TRUE,3540.90,3:20 PM,5:37 PM
4/16/1967,F0O4LQOR,08:36,10:12 AM,TRUE,5827.50,6:57 PM,8:43 PM
4/20/1967,ZH0YM4WS,10:04,12:28 PM,TRUE,57916.67,12:03 AM,3:01 AM
4/27/1967,SRRWLW1X,07:52,9:10 AM,TRUE,7266.67,4:26 PM,6:57 PM
5/1/1967,IW25XZVQ,07:55,9:08 AM,TRUE,9566.67,1:55 PM,3:59 PM
5/7/1967,6KA8EVQD,07:34,9:36 AM,TRUE,11133.33,8:44 PM,11:14 PM
5/13/1967,Q7O9Y1JO,09:20,11:58 AM,TRUE,21416.67,8:32 PM,10:24 PM
5/24/1967,F0O4LQOR,09:28,11:16 AM,TRUE,4262.40,5:40 PM,8:05 PM
5/25/1967,06C8W0L9,09:22,12:00 PM,TRUE,22200.00,12:20 AM,2:19 AM
5/26/1967,IW25XZVQ,07:32,9:00 AM,TRUE,6066.67,12:02 PM,2:58 PM
6/6/1967,E9BLOU9Y,09:26,11:42 AM,TRUE,43516.67,12:08 AM,2:03 AM
6/10/1967,E9BLOU9Y,09:18,11:43 AM,TRUE,26833.33,7:23 PM,9:15 PM
6/12/1967,F0O4LQOR,08:55,10:40 AM,TRUE,6648.90,8:39 PM,11:05 PM
6/18/1967,SRRWLW1X,08:06,10:33 AM,TRUE,4316.67,2:52 PM,4:22 PM
6/28/1967,E9BLOU9Y,08:23,9:44 AM,TRUE,16916.67,2:34 PM,4:25 PM
7/12/1967,E9BLOU9Y,09:32,11:54 AM,TRUE,22925.00,6:27 PM,8:43 PM
7/26/1967,ZH0YM4WS,10:20,12:20 PM,TRUE,14333.33,3:12 PM,5:05 PM
8/3/1967,6KA8EVQD,09:52,12:38 PM,TRUE,10083.33,10:43 PM,12:08 AM
8/15/1967,IW25XZVQ,10:01,12:03 PM,TRUE,16133.33,8:07 PM,10:42 PM
8/22/1967,2N3QBUN5,09:12,11:45 AM,TRUE,7395.00,8:27 PM,10:32 PM
9/3/1967,Q7O9Y1JO,10:59,12:06 PM,TRUE,5500.00,2:18 PM,4:23 PM
9/7/1967,2N3QBUN5,09:48,12:20 PM,TRUE,9789.17,11:51 PM,1:42 AM
9/14/1967,06C8W0L9,08:32,9:58 AM,FALSE,2850.00,11:33 AM,2:16 PM
9/28/1967,BGIHXU38,09:11,11:03 AM,TRUE,8500.00,6:08 PM,8:39 PM
9/29/1967,E9BLOU9Y,08:57,10:09 AM,TRUE,7816.67,12:23 PM,2:45 PM
10/7/1967,BGIHXU38,10:02,12:34 PM,TRUE,7380.00,6:43 PM,7:44 PM
10/20/1967,ZH0YM4WS,09:42,11:03 AM,TRUE,10666.67,1:11 PM,2:30 PM
10/22/1967,SRRWLW1X,09:10,11:41 AM,TRUE,4183.33,3:52 PM,6:23 PM
10/28/1967,E9BLOU9Y,07:54,10:19 AM,FALSE,-291.67,10:14 AM,12:29 PM
11/8/1967,Q7O9Y1JO,10:34,12:13 PM,TRUE,21416.67,8:47 PM,11:38 PM
11/17/1967,SRRWLW1X,08:34,11:20 AM,TRUE,3983.33,3:19 PM,5:13 PM
11/18/1967,6KA8EVQD,10:31,1:26 PM,TRUE,6466.67,7:54 PM,10:44 PM
11/25/1967,F0O4LQOR,08:08,10:18 AM,TRUE,5849.70,7:05 PM,8:06 PM
12/9/1967,IW25XZVQ,10:17,11:34 AM,TRUE,12833.33,5:59 PM,8:35 PM
12/11/1967,BGIHXU38,08:48,10:00 AM,TRUE,8540.00,5:07 PM,6:23 PM
12/16/1967,SRRWLW1X,08:21,10:40 AM,TRUE,4416.67,3:05 PM,4:25 PM
12/24/1967,E9BLOU9Y,10:09,11:41 AM,TRUE,34358.33,9:30 PM,11:31 PM
1/2/1968,ZH0YM4WS,07:58,9:15 AM,TRUE,40750.00,5:24 PM,6:34 PM
1/11/1968,2N3QBUN5,10:03,12:02 PM,TRUE,10299.17,12:09 AM,2:01 AM
1/18/1968,ZH0YM4WS,10:54,1:17 PM,TRUE,17250.00,4:44 PM,7:26 PM
1/24/1968,F0O4LQOR,08:24,11:17 AM,FALSE,1309.80,1:15 PM,2:23 PM
2/1/1968,Q7O9Y1JO,08:47,11:20 AM,TRUE,22416.67,8:18 PM,11:15 PM
2/4/1968,E9BLOU9Y,07:32,10:04 AM,TRUE,19483.33,3:38 PM,6:09 PM
2/9/1968,F0O4LQOR,09:04,10:43 AM,TRUE,3152.40,3:27 PM,6:03 PM
2/20/1968,IW25XZVQ,08:46,10:30 AM,TRUE,18700.00,7:51 PM,10:47 PM
3/1/1968,06C8W0L9,08:35,10:19 AM,TRUE,15570.00,6:58 PM,9:58 PM
3/14/1968,06C8W0L9,07:19,9:01 AM,TRUE,23340.00,9:59 PM,11:40 PM
3/26/1968,Q7O9Y1JO,08:43,10:00 AM,FALSE,4833.33,11:56 AM,2:03 PM
4/1/1968,6KA8EVQD,07:23,8:24 AM,TRUE,5516.67,1:55 PM,3:28 PM
4/2/1968,2N3QBUN5,09:29,10:51 AM,TRUE,9718.33,10:17 PM,11:22 PM
4/9/1968,BGIHXU38,10:33,1:05 PM,TRUE,11280.00,10:29 PM,12:47 AM
4/19/1968,6KA8EVQD,07:12,9:58 AM,TRUE,6400.00,4:22 PM,6:16 PM
4/24/1968,Q7O9Y1JO,09:31,11:43 AM,TRUE,17291.67,6:38 PM,8:49 PM
4/25/1968,IW25XZVQ,09:17,11:02 AM,TRUE,18566.67,8:19 PM,10:28 PM
5/8/1968,2N3QBUN5,10:02,12:35 PM,TRUE,3300.83,4:28 PM,6:35 PM
5/12/1968,2N3QBUN5,07:50,9:30 AM,TRUE,3895.83,2:05 PM,4:41 PM
5/19/1968,BGIHXU38,08:59,11:38 AM,FALSE,1300.00,12:43 PM,2:06 PM
5/27/1968,SRRWLW1X,08:13,10:12 AM,TRUE,8750.00,6:57 PM,8:07 PM
5/31/1968,E9BLOU9Y,10:19,1:16 PM,TRUE,29225.00,9:37 PM,11:48 PM
6/14/1968,IW25XZVQ,10:45,12:24 PM,TRUE,4666.67,2:44 PM,3:52 PM
6/21/1968,IW25XZVQ,09:40,11:52 AM,FALSE,100.00,11:55 AM,1:56 PM
6/23/1968,06C8W0L9,07:01,8:48 AM,TRUE,7830.00,1:09 PM,3:11 PM
6/26/1968,ZH0YM4WS,10:34,11:58 AM,TRUE,46666.67,9:18 PM,10:56 PM
7/6/1968,2N3QBUN5,08:52,10:32 AM,TRUE,2025.83,12:55 PM,2:21 PM
7/8/1968,2N3QBUN5,08:40,10:49 AM,TRUE,6134.17,6:02 PM,8:37 PM
7/15/1968,ZH0YM4WS,09:50,12:33 PM,TRUE,55250.00,11:36 PM,2:08 AM
7/18/1968,Q7O9Y1JO,09:24,11:12 AM,TRUE,6750.00,1:54 PM,3:15 PM
7/28/1968,Q7O9Y1JO,10:02,11:42 AM,TRUE,16875.00,6:27 PM,9:02 PM
8/1/1968,BGIHXU38,10:38,12:19 PM,TRUE,7920.00,6:55 PM,8:27 PM
8/11/1968,BGIHXU38,07:01,8:26 AM,TRUE,3180.00,11:05 AM,12:34 PM
8/16/1968,ZH0YM4WS,09:19,11:07 AM,TRUE,36250.00,6:22 PM,8:11 PM
8/18/1968,F0O4LQOR,10:43,12:03 PM,TRUE,8169.60,12:19 AM,2:41 AM
8/22/1968,06C8W0L9,08:58,10:06 AM,TRUE,16200.00,7:06 PM,9:55 PM
8/25/1968,06C8W0L9,09:35,11:29 AM,TRUE,10800.00,5:29 PM,8:01 PM
9/6/1968,2N3QBUN5,08:35,10:59 AM,TRUE,2436.67,1:51 PM,4:34 PM
9/12/1968,SRRWLW1X,07:23,8:46 AM,FALSE,566.67,9:20 AM,12:07 PM
9/23/1968,IW25XZVQ,09:02,11:58 AM,TRUE,24933.33,12:26 AM,1:29 AM
9/29/1968,ZH0YM4WS,09:53,11:49 AM,TRUE,28333.33,5:29 PM,7:07 PM
10/10/1968,SRRWLW1X,07:54,9:10 AM,TRUE,2450.00,11:37 AM,1:35 PM
10/24/1968,2N3QBUN5,07:00,9:27 AM,TRUE,4405.83,2:38 PM,4:20 PM
10/27/1968,F0O4LQOR,08:24,10:59 AM,TRUE,1676.10,1:30 PM,4:29 PM
10/28/1968,06C8W0L9,07:49,10:13 AM,TRUE,22710.00,10:50 PM,12:31 AM
11/6/1968,F0O4LQOR,10:25,12:52 PM,TRUE,4118.10,7:03 PM,9:12 PM
11/7/1968,BGIHXU38,10:35,12:31 PM,TRUE,3040.00,3:03 PM,4:19 PM
11/15/1968,BGIHXU38,10:59,12:30 PM,TRUE,9320.00,8:16 PM,9:44 PM
11/19/1968,F0O4LQOR,07:43,10:24 AM,FALSE,-233.10,10:03 AM,12:41 PM
11/26/1968,ZH0YM4WS,07:03,10:03 AM,TRUE,37666.67,5:35 PM,6:47 PM
12/3/1968,2N3QBUN5,10:28,12:25 PM,TRUE,3895.83,5:00 PM,6:50 PM
12/7/1968,2N3QBUN5,07:33,9:34 AM,TRUE,6431.67,5:08 PM,6:31 PM
12/9/1968,ZH0YM4WS,09:02,10:09 AM,TRUE,43416.67,6:50 PM,8:34 PM
12/16/1968,IW25XZVQ,08:48,10:16 AM,TRUE,14333.33,5:26 PM,8:03 PM
12/29/1968,BGIHXU38,10:54,1:32 PM,TRUE,12600.00,12:02 AM,2:52 AM
1/2/1969,E9BLOU9Y,08:12,11:00 AM,TRUE,21175.00,5:03 PM,7:09 PM
1/16/1969,Q7O9Y1JO,09:50,11:41 AM,TRUE,23208.33,8:58 PM,10:30 PM
1/23/1969,ZH0YM4WS,10:06,11:31 AM,FALSE,6500.00,12:49 PM,2:12 PM
2/5/1969,Q7O9Y1JO,07:14,8:31 AM,TRUE,8750.00,12:01 PM,2:41 PM
2/11/1969,2N3QBUN5,09:11,10:28 AM,TRUE,7423.33,7:12 PM,8:50 PM
2/16/1969,6KA8EVQD,07:30,9:12 AM,TRUE,10566.67,7:46 PM,9:44 PM
2/28/1969,SRRWLW1X,09:20,11:48 AM,TRUE,5533.33,5:20 PM,7:19 PM
3/10/1969,6KA8EVQD,08:46,11:09 AM,TRUE,10716.67,9:52 PM,11:23 PM
3/14/1969,Q7O9Y1JO,09:24,10:52 AM,TRUE,10458.33,3:03 PM,5:35 PM
3/18/1969,IW25XZVQ,08:04,10:10 AM,TRUE,23066.67,9:42 PM,11:26 PM
3/20/1969,2N3QBUN5,07:16,9:35 AM,TRUE,2932.50,1:02 PM,2:55 PM
3/31/1969,BGIHXU38,09:34,11:37 AM,FALSE,1000.00,12:27 PM,3:17 PM
4/8/1969,BGIHXU38,09:28,11:41 AM,TRUE,6540.00,5:08 PM,8:01 PM
4/13/1969,E9BLOU9Y,09:16,11:09 AM,FALSE,2975.00,12:00 PM,2:12 PM
4/25/1969,6KA8EVQD,09:55,11:34 AM,TRUE,6916.67,6:29 PM,9:09 PM
5/5/1969,6KA8EVQD,09:54,11:55 AM,TRUE,2333.33,2:15 PM,4:57 PM
5/7/1969,IW25XZVQ,07:22,9:06 AM,TRUE,7200.00,12:42 PM,3:12 PM
5/13/1969,F0O4LQOR,07:27,10:17 AM,TRUE,3618.60,3:43 PM,6:02 PM
5/25/1969,2N3QBUN5,10:44,1:36 PM,TRUE,3740.00,6:00 PM,7:35 PM
6/7/1969,ZH0YM4WS,10:10,12:01 PM,FALSE,10000.00,2:01 PM,4:08 PM
6/15/1969,2N3QBUN5,08:51,11:47 AM,TRUE,2238.33,2:25 PM,4:56 PM
6/27/1969,IW25XZVQ,09:58,11:26 AM,TRUE,17433.33,8:09 PM,9:32 PM
6/30/1969,BGIHXU38,10:28,12:59 PM,TRUE,5520.00,5:35 PM,7:55 PM
7/13/1969,2N3QBUN5,07:28,9:12 AM,FALSE,1317.50,10:45 AM,1:23 PM
7/16/1969,ZH0YM4WS,09:03,10:57 AM,TRUE,38250.00,6:36 PM,7:44 PM
7/28/1969,SRRWLW1X,08:45,11:21 AM,FALSE,1283.33,12:38 PM,3:28 PM
8/6/1969,BGIHXU38,07:55,10:30 AM,TRUE,4500.00,2:15 PM,4:18 PM
8/7/1969,2N3QBUN5,08:58,11:56 AM,TRUE,5071.67,5:54 PM,8:50 PM
8/8/1969,E9BLOU9Y,08:47,10:02 AM,TRUE,12075.00,1:29 PM,3:14 PM
8/13/1969,BGIHXU38,07:29,9:46 AM,TRUE,6260.00,2:59 PM,4:25 PM
8/17/1969,ZH0YM4WS,08:05,10:46 AM,TRUE,44083.33,7:35 PM,9:04 PM
8/24/1969,E9BLOU9Y,07:21,10:10 AM,TRUE,22575.00,4:37 PM,5:44 PM
9/7/1969,06C8W0L9,09:47,11:37 AM,TRUE,14880.00,7:53 PM,10:48 PM
9/9/1969,Q7O9Y1JO,07:26,9:15 AM,FALSE,-83.33,9:13 AM,11:54 AM
9/18/1969,BGIHXU38,08:52,11:19 AM,TRUE,12660.00,9:52 PM,12:32 AM
9/25/1969,2N3QBUN5,08:26,10:37 AM,TRUE,4958.33,4:27 PM,6:16 PM
10/3/1969,BGIHXU38,07:53,10:43 AM,TRUE,12260.00,8:56 PM,11:32 PM
10/16/1969,Q7O9Y1JO,09:10,10:37 AM,TRUE,31500.00,11:13 PM,1:05 AM
10/21/1969,F0O4LQOR,10:46,12:16 PM,TRUE,3707.40,5:50 PM,7:06 PM
11/2/1969,2N3QBUN5,07:02,8:41 AM,TRUE,4377.50,1:50 PM,4:35 PM
11/13/1969,06C8W0L9,08:37,10:44 AM,TRUE,23160.00,11:36 PM,1:15 AM
11/22/1969,IW25XZVQ,07:14,10:10 AM,FALSE,466.67,10:24 AM,11:44 AM
11/25/1969,E9BLOU9Y,07:33,9:18 AM,TRUE,39841.67,8:41 PM,10:30 PM
12/5/1969,E9BLOU9Y,10:43,1:38 PM,TRUE,29691.67,10:07 PM,12:59 AM
12/12/1969,SRRWLW1X,07:12,9:24 AM,TRUE,3100.00,12:30 PM,2:29 PM
12/24/1969,ZH0YM4WS,10:03,11:36 AM,TRUE,29916.67,5:35 PM,8:01 PM
12/26/1969,6KA8EVQD,09:35,11:17 AM,TRUE,9183.33,8:28 PM,11:06 PM
12/31/1969,06C8W0L9,08:02,11:01 AM,TRUE,10380.00,4:47 PM,7:08 PM
1/8/1970,SRRWLW1X,10:27,11:33 AM,TRUE,8433.33,7:59 PM,10:18 PM
1/12/1970,BGIHXU38,08:27,10:06 AM,TRUE,9700.00,6:11 PM,7:49 PM
1/21/1970,06C8W0L9,09:46,11:03 AM,TRUE,24180.00,12:29 AM,2:36 AM
1/30/1970,BGIHXU38,10:30,12:06 PM,TRUE,14580.00,12:15 AM,2:52 AM
