Terminal,Date,CruiseLine,EmbarkPAX,DebarkPAX,In-TransitPAX,TotalPAX,SPConnect,Usage(kWh),"ConnectionDuration 
",SPNote,Nox(MT),SO2(MT),PM2.5(MT),CO2(MT),CO2eq(MT),CarEq
BCT,9/17/2022,Pacific Cruises,3025,2253,62,5340,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,9/23/2022,Atlantic Cruises,1337,1457,660,3454,Yes,38519,4:42:48,N/A,0.10,0.02,0.01,16.31,16.63,3.80
BCT,9/24/2022,Pacific Cruises,2905,3037,38,5980,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,10/1/2022,Pacific Cruises,2911,2916,26,5853,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,10/6/2022,Oceanic Cruises,304,159,2910,3373,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,10/7/2022,Atlantic Cruises,1387,1320,798,3505,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,10/8/2022,Pacific Cruises,3126,2915,21,6062,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,10/10/2022,Arctic Cruises,2001,1743,28,3772,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,10/15/2022,Pacific Cruises,2703,3112,31,5846,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,10/22/2022,Arctic Cruises,2056,2686,41,4783,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,10/25/2022,Arctic Cruises,1867,1910,271,4048,Yes,39519,5:15:26,N/A,0.10,0.02,0.01,16.73,17.07,2.80
BCT,10/29/2022,Oceanic Cruises,1669,2072,23,3764,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,10/30/2022,Atlantic Cruises,2,20,1961,1983,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,11/5/2022,Arctic Cruises,2739,1593,105,4437,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,11/20/2022,Atlantic Cruises,1661,1618,587,3866,Yes,40149,5:20:48,N/A,0.10,0.02,0.01,17.00,17.34,4.00
BCT,12/3/2022,Pacific Cruises,1643,1699,538,3880,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,12/22/2022,Arctic Cruises,1395,1323,883,3601,Yes,40771,5:33:37,N/A,0.10,0.02,0.01,17.26,17.61,4.00
BCT,1/3/2023,Oceanic Cruises,1332,1449,832,3613,Yes,49091,6:30:17,N/A,0.12,0.02,0.01,20.79,21.20,4.80
BCT,4/22/2023,Atlantic Cruises,4557,3349,0,7906,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,4/29/2023,Pacific Cruises,4300,4448,1,8749,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,5/7/2023,Atlantic Cruises,4228,4283,3,8514,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,5/14/2023,Pacific Cruises,4151,4223,4,8378,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,5/21/2023,Arctic Cruises,4432,4151,0,8583,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,5/26/2023,Pacific Cruises,2238,2192,167,4597,Yes,57404,7:13:41,N/A,0.14,0.02,0.01,24.30,24.79,5.70
BCT,5/28/2023,Arctic Cruises,4663,4229,0,8892,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,6/4/2023,Oceanic Cruises,4597,4650,,9247,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,6/11/2023,Arctic Cruises,4706,4593,,9299,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,6/18/2023,Pacific Cruises,5022,4705,6,9733,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,6/25/2023,Pacific Cruises,5395,5025,6,10426,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,6/30/2023,Atlantic Cruises,2060,2090,368,4518,Yes,27594,3:11:53,N/A,0.07,0.01,0.00,11.68,11.92,2.70
BCT,7/2/2023,Oceanic Cruises,5353,5393,3,10749,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,7/7/2023,Oceanic Cruises,2033,2019,411,4463,No,0,0:00:00,Ship did not connect due to delayed arrival,0.00,0.00,0.00,0.00,0.00,
BCT,7/9/2023,Oceanic Cruises,5339,5346,0,10685,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,7/16/2023,Oceanic Cruises,5294,5343,,10637,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,7/21/2023,Atlantic Cruises,2082,2058,407,4547,No,0,0:00:00,Extreme weather,0.00,0.00,0.00,0.00,0.00,
BCT,7/23/2023,Arctic Cruises,5356,5305,,10661,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,7/26/2023,Atlantic Cruises,5,8,3158,3171,Yes,77117,8:36:56,N/A,0.19,0.03,0.01,32.65,33.30,7.60
BCT,7/30/2023,Atlantic Cruises,5323,5350,,10673,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,8/6/2023,Arctic Cruises,5387,5324,,10711,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,8/13/2023,Arctic Cruises,5324,5382,,10706,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,8/14/2023,Oceanic Cruises,2830,3057,81,5968,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,8/18/2023,Atlantic Cruises,2191,2160,320,4671,Yes,40369,5:24:53,N/A,0.10,0.02,0.01,17.09,17.43,4.00
BCT,8/21/2023,Pacific Cruises,4826,4955,353,10134,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,8/27/2023,Pacific Cruises,5447,5128,51,10626,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,8/30/2023,Atlantic Cruises,2709,2814,100,5623,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,9/4/2023,Pacific Cruises,4352,5451,31,9834,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,9/9/2023,Atlantic Cruises,2780,2329,451,5560,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,9/10/2023,Atlantic Cruises,3959,4316,63,8338,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,9/11/2023,Arctic Cruises,2053,2088,311,4452,No,0,0:00:00,Unresolved rate issue,0.00,0.00,0.00,0.00,0.00,
BCT,9/16/2023,Arctic Cruises,2833,2764,29,5626,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,9/17/2023,Arctic Cruises,,,313,313,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,9/18/2023,Pacific Cruises,4286,3966,55,8307,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,9/19/2023,Arctic Cruises,2719,2637,120,5476,Yes,77345,9:43:57,N/A,0.19,0.03,0.01,32.75,33.40,7.60
BCT,9/20/2023,Arctic Cruises,,2,1762,1764,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,9/23/2023,Atlantic Cruises,2921,2758,12,5691,No,0,0:00:00,Extreme weather,0.00,0.00,0.00,0.00,0.00,
BCT,9/24/2023,Pacific Cruises,3385,3966,336,7687,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,9/29/2023,Pacific Cruises,1501,1478,883,3862,No,0,0:00:00,Extreme weather,0.00,0.00,0.00,0.00,0.00,
BCT,9/30/2023,Atlantic Cruises,2857,2918,15,5790,No,0,0:00:00,Extreme weather,0.00,0.00,0.00,0.00,0.00,
BCT,10/4/2023,Pacific Cruises,3890,3710,0,7600,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,10/7/2023,Oceanic Cruises,2982,2956,9,5947,Yes,68166,7:41:54,N/A,0.17,0.03,0.01,28.86,29.44,6.70
BCT,10/9/2023,Atlantic Cruises,2730,2617,42,5389,Yes,71008,9:16:29,N/A,0.18,0.03,0.01,30.06,30.66,7.00
BCT,10/13/2023,Atlantic Cruises,1325,1398,902,3625,Yes,41767,5:20:19,N/A,0.10,0.02,0.01,17.68,18.04,4.10
BCT,10/14/2023,Pacific Cruises,2919,2971,17,5907,Yes,67382,8:26:54,N/A,0.17,0.03,0.01,28.53,29.10,6.70
BCT,10/15/2023,Oceanic Cruises,3741,3877,2,7620,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,10/21/2023,Arctic Cruises,2937,2938,11,5886,Yes,66437,8:03:56,N/A,0.17,0.03,0.01,28.13,28.69,6.60
BCT,10/25/2023,Pacific Cruises,3060,3327,410,6797,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,10/27/2023,Oceanic Cruises,1,33,2394,2428,Yes,93310,0:31:00,N/A,0.23,0.04,0.01,39.51,40.29,9.20
BCT,10/28/2023,Oceanic Cruises,2707,2921,26,5654,Yes,47420,5:42:14,N/A,0.12,0.02,0.01,20.08,20.48,4.70
BCT,10/30/2023,Arctic Cruises,1,16,198,215,Yes,20,0:11:00,Ship was getting their shore power retrofit cerfied by their class and insurance,0.00,0.00,0.00,0.01,0.01,0.00
BCT,11/4/2023,Oceanic Cruises,2619,2637,95,5351,Yes,66439,8:18:59,N/A,0.17,0.03,0.01,28.13,28.69,6.60
BCT,11/5/2023,Pacific Cruises,4136,3457,3,7596,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,11/13/2023,Oceanic Cruises,3937,3989,148,8074,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,11/19/2023,Atlantic Cruises,4091,4005,63,8159,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,11/26/2023,Arctic Cruises,1746,1545,645,3936,No,0,0:00:00,Cancelled shore power connection due to USCG inspection of the vessel ,0.00,0.00,0.00,0.00,0.00,
BCT,11/27/2023,Pacific Cruises,4320,4086,57,8463,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,12/2/2023,Atlantic Cruises,4068,4256,120,8444,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,12/8/2023,Arctic Cruises,1647,1740,650,4037,Partial,0,0:00:00,Cancelled due to technical issue with the ship's shore power system,0.00,0.00,0.00,0.00,0.00,
BCT,12/9/2023,Arctic Cruises,4215,4187,3,8405,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,12/16/2023,Oceanic Cruises,2886,4206,5,7097,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,12/22/2023,Oceanic Cruises,1775,1634,728,4137,No,0,0:00:00,Ongoing technical issue with the ship's shore power system,0.00,0.00,0.00,0.00,0.00,
BCT,12/23/2023,Oceanic Cruises,5552,2871,7,8430,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,12/30/2023,Atlantic Cruises,5226,5535,11,10772,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,1/3/2024,Atlantic Cruises,1592,1811,673,4076,No,0,0:00:00,Ongoing technical issue with the ship's shore power system,0.00,0.00,0.00,0.00,0.00,
BCT,1/6/2024,Atlantic Cruises,2891,5205,26,8122,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,1/15/2024,Atlantic Cruises,3959,2855,48,6862,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,1/26/2024,Pacific Cruises,2325,3928,55,6308,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,2/4/2024,Arctic Cruises,3148,2349,25,5522,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,2/11/2024,Atlantic Cruises,3925,3161,6,7092,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,2/18/2024,Pacific Cruises,5477,3918,6,9401,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,2/25/2024,Atlantic Cruises,4372,5471,2,9845,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,3/3/2024,Arctic Cruises,5139,4363,2,9504,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,3/10/2024,Atlantic Cruises,4723,5122,11,9856,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,3/17/2024,Pacific Cruises,4421,4728,13,9162,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,3/24/2024,Arctic Cruises,4900,4415,6,9321,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,3/31/2024,Oceanic Cruises,5322,4902,6,10230,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,4/7/2024,Arctic Cruises,4211,5295,33,9539,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,4/18/2024,Oceanic Cruises,4760,4179,38,8977,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,4/28/2024,Atlantic Cruises,4369,4763,20,9152,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,5/4/2024,Atlantic Cruises,2626,4190,196,7012,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,5/5/2024,Atlantic Cruises,2117,2157,167,4441,No,0,0:00:00,Ongoing technical issue with the ship's shore power system,0.00,0.00,0.00,0.00,0.00,
BCT,5/12/2024,Oceanic Cruises,3644,2802,3,6449,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,5/19/2024,Pacific Cruises,4449,3632,3,8084,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,5/23/2024,Arctic Cruises,2234,2265,154,4653,No,0,0:00:00,Ongoing technical issue with the ship's shore power system,0.00,0.00,0.00,0.00,0.00,
BCT,5/26/2024,Arctic Cruises,4445,4457,4,8906,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,6/2/2024,Atlantic Cruises,4603,4441,3,9047,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,6/4/2024,Oceanic Cruises,1510,1939,128,3577,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,6/9/2024,Arctic Cruises,4812,4595,4,9411,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,6/14/2024,Arctic Cruises,1880,1682,175,3737,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,6/15/2024,Arctic Cruises,2230,2184,257,4671,No,0,0:00:00,Ongoing technical issue with the ship's shore power system,0.00,0.00,0.00,0.00,0.00,
BCT,6/16/2024,Pacific Cruises,5007,4811,4,9822,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,6/23/2024,Arctic Cruises,5229,5013,3,10245,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,6/25/2024,Arctic Cruises,1892,1721,149,3762,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,6/29/2024,Pacific Cruises,2245,2150,284,4679,No,0,0:00:00,Ongoing technical issue with the ship's shore power system,0.00,0.00,0.00,0.00,0.00,
BCT,6/30/2024,Pacific Cruises,5287,5230,4,10521,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,7/5/2024,Arctic Cruises,2095,1992,90,4177,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,7/6/2024,Pacific Cruises,2169,2234,288,4691,No,0,0:00:00,Ongoing technical issue with the ship's shore power system,0.00,0.00,0.00,0.00,0.00,
BCT,7/7/2024,Oceanic Cruises,5198,5226,4,10428,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,7/14/2024,Atlantic Cruises,5352,5200,4,10556,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,7/21/2024,Atlantic Cruises,5338,5357,5,10700,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,7/27/2024,Atlantic Cruises,2158,2208,301,4667,No,0,0:00:00,Ongoing technical issue with the ship's shore power system,0.00,0.00,0.00,0.00,0.00,
BCT,7/28/2024,Pacific Cruises,5278,5338,4,10620,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,8/4/2024,Oceanic Cruises,5317,5274,9,10600,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,8/11/2024,Arctic Cruises,5313,5320,4,10637,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,8/18/2024,Pacific Cruises,4928,5097,223,10248,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,8/23/2024,Arctic Cruises,2254,2228,217,4699,No,0,0:00:00,Ongoing technical issue with the ship's shore power system,0.00,0.00,0.00,0.00,0.00,
BCT,8/24/2024,Atlantic Cruises,3866,3849,67,7782,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,8/25/2024,Arctic Cruises,5285,5149,3,10437,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,8/31/2024,Atlantic Cruises,3413,3891,49,7353,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,9/1/2024,Arctic Cruises,4363,5205,84,9652,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,9/2/2024,Pacific Cruises,2,5,865,872,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,9/7/2024,Pacific Cruises,3449,3409,51,6909,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,9/8/2024,Arctic Cruises,3771,4231,209,8211,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,9/14/2024,Pacific Cruises,3454,3452,43,6949,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,9/15/2024,Atlantic Cruises,4066,3969,3,8038,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,9/21/2024,Arctic Cruises,3517,3444,45,7006,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,9/22/2024,Pacific Cruises,1738,1690,752,4180,Yes,45012,5:21:00,Sucessful connection after the issue was finally resolved,0.11,0.02,0.01,19.06,19.44,4.40
BCT,9/23/2024,Atlantic Cruises,4093,4065,2,8160,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,9/28/2024,Arctic Cruises,3544,3527,30,7101,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,9/29/2024,Pacific Cruises,4112,4093,3,8208,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,10/2/2024,Oceanic Cruises,399,615,21,1035,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,10/4/2024,Arctic Cruises,1397,1467,1016,3880,Yes,57397,7:07:48,N/A,0.14,0.02,0.01,24.30,24.79,5.70
BCT,10/5/2024,Oceanic Cruises,3585,3561,15,7161,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,10/6/2024,Oceanic Cruises,4118,4106,0,8224,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,10/12/2024,Arctic Cruises,3582,3568,18,7168,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,10/13/2024,Oceanic Cruises,4294,3962,150,8406,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,10/19/2024,Oceanic Cruises,3551,3580,18,7149,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,10/20/2024,Oceanic Cruises,4087,4352,92,8531,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,10/25/2024,Pacific Cruises,2121,2067,297,4485,Yes,54584,6:36:29,N/A,0.14,0.02,0.01,23.11,23.57,5.40
BCT,10/26/2024,Atlantic Cruises,3552,3526,38,7116,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,10/27/2024,Oceanic Cruises,3686,4175,0,7861,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,11/2/2024,Oceanic Cruises,3370,3463,118,6951,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,11/3/2024,Atlantic Cruises,4787,3678,9,8474,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,11/10/2024,Atlantic Cruises,4141,4788,7,8936,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,11/17/2024,Oceanic Cruises,4164,4139,8,8311,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,11/20/2024,Pacific Cruises,1772,1690,688,4150,Yes,26218,3:18:30,USCG inspection ,0.07,0.01,0.00,11.10,11.32,2.60
BCT,11/24/2024,Arctic Cruises,5247,4156,10,9413,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,12/1/2024,Arctic Cruises,4215,5248,0,9463,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,12/3/2024,Pacific Cruises,1683,1753,711,4147,Yes,58395,7:15:46,N/A,0.15,0.02,0.01,24.72,25.22,5.80
BCT,12/8/2024,Pacific Cruises,4233,4220,5,8458,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,12/15/2024,Arctic Cruises,4630,4228,1,8859,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,12/21/2024,Pacific Cruises,1549,1433,973,3955,No,0,0:00:00,No connection due to feeder out of service,0.00,0.00,0.00,0.00,0.00,
BCT,12/22/2024,Arctic Cruises,5473,4616,1,10090,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
BCT,12/29/2024,Arctic Cruises,5215,5480,1,10696,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
MCT,1/2/2022,Oceanic Cruises,855,1428,8,2291,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
MCT,1/9/2022,Pacific Cruises,768,835,22,1625,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
MCT,1/19/2022,Oceanic Cruises,576,762,25,1363,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
MCT,1/29/2022,Atlantic Cruises,569,570,32,1171,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
MCT,2/8/2022,Atlantic Cruises,604,591,13,1208,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
MCT,2/18/2022,Arctic Cruises,1135,767,10,1912,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
MCT,2/19/2022,Pacific Cruises,2001,2,19,2022,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
MCT,2/27/2022,Oceanic Cruises,1450,1999,19,3468,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
MCT,2/28/2022,Pacific Cruises,867,1132,11,2010,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
MCT,3/6/2022,Pacific Cruises,1445,1428,40,2913,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
MCT,3/10/2022,Arctic Cruises,1135,841,17,1993,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
MCT,3/13/2022,Oceanic Cruises,2261,1444,38,3743,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
MCT,3/20/2022,Arctic Cruises,1710,2267,22,3999,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
MCT,3/20/2022,Arctic Cruises,1151,1134,15,2300,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
MCT,3/27/2022,Atlantic Cruises,1696,1702,27,3425,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
MCT,3/30/2022,Arctic Cruises,1197,1144,18,2359,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
MCT,4/2/2022,Pacific Cruises,1308,1223,49,2580,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
MCT,4/3/2022,Pacific Cruises,2547,1693,29,4269,N/A,0,0:00:00,N/A,0.00,0.00,0.00,0.00,0.00,
