Terminal,Date,Vessel Name,EmbarkPAX,DebarkPAX,TransitPAX,Berth,ShorePowered, kWh ,connectionDuration,ShorePowerNote
BCT,3/3/2024,MSC Meraviglia,"5,139","4,363",2,, N/A ,0,0:00:00,N/A
BCT,3/10/2024,MSC Meraviglia,"4,723","5,122",11,, N/A ,0,0:00:00,N/A
BCT,3/17/2024,MSC Meraviglia,"4,421","4,728",13,, N/A ,0,0:00:00,N/A
BCT,3/24/2024,MSC Meraviglia,"4,900","4,415",6,, N/A ,0,0:00:00,N/A
MCT,9/24/2022,Arcadia,4,4,"1,132",, N/A ,0,0:00:00,N/A
MCT,4/9/2023,Amera,0,0,610,2, N/A ,0,0:00:00,N/A
MCT,9/11/2023,Amera,1,1,679,, N/A ,0,0:00:00,N/A
MCT,10/27/2023,Artania,4,0,961,4, N/A ,0,0:00:00,N/A
MCT,4/29/2024,Amera,0,0,765,1, N/A ,0,0:00:00,N/A
MCT,6/3/2024,Asuka II,63,13,475,2, N/A ,0,0:00:00,N/A
MCT,9/18/2024,Arcadia,5,5,"1,926",2, N/A ,0,0:00:00,N/A
