Terminal,Date,Vessel Name,EmbarkPAX,DebarkPAX,TransitPAX,Berth,ShorePowered, kWh ,connectionDuration,ShorePowerNote
BCT,5/21/2023, Meraviglia,"4,523","4,186",3,, N/A ,0,0:00:00,N/A
BCT,5/26/2023,Queen,"2,387","2,367",189,, Yes ,"57,404",7:13:41,N/A
BCT,5/28/2023, Meraviglia,"4,778","4,229",2,, N/A ,0,0:00:00,N/A
BCT,6/4/2023, Meraviglia,"4,621","4,650",10,, N/A ,0,0:00:00,N/A
BCT,6/11/2023, Meraviglia,"4,829","4,593",8,, N/A ,0,0:00:00,N/A
BCT,6/18/2023, Meraviglia,"4,958",750,384,, N/A ,0,0:00:00,N/A
BCT,6/25/2023, Meraviglia,"5,520","5,025",6,, N/A ,0,0:00:00,N/A
BCT,6/30/2023,Queen ,"2,176","2,090",368,, Yes ,"27,594",3:11:53,N/A
BCT,7/2/2023, Meraviglia,"5,402","5,393",3,, N/A ,0,0:00:00,N/A
BCT,7/7/2023,Queen ,"2,138","3,000",411,, No ,0,0:00:00,Ship did not connect due to delayed arrival
BCT,7/9/2023, Meraviglia,"5,197","5,346",0,, N/A ,0,0:00:00,N/A
BCT,7/16/2023, Meraviglia,"5,099","3,000",,, N/A ,0,0:00:00,N/A
BCT,7/21/2023,Queen,"2,260","2,058",407,, No ,0,0:00:00,Extreme weather
BCT,7/23/2023,Meraviglia,"5,488","5,305",,, N/A ,0,0:00:00,N/A
BCT,7/26/2023,Caribbean,11,8,"3,158",, Yes ,"77,117",8:36:56,N/A
BCT,7/30/2023, Meraviglia,802,750,,, N/A ,0,0:00:00,N/A
BCT,8/6/2023, Meraviglia,"5,544",500,,, N/A ,0,0:00:00,N/A
BCT,8/13/2023, Meraviglia,"5,432","5,382",,, N/A ,0,0:00:00,N/A
BCT,8/14/2023,Caribbean ,"2,950",750,81,, N/A ,0,0:00:00,N/A
BCT,8/18/2023,Queen ,"2,263",750,320,, Yes ,"40,369",5:24:53,N/A
BCT,8/21/2023, Meraviglia,"4,965","4,955",353,, N/A ,0,0:00:00,N/A
BCT,8/27/2023, Meraviglia,"5,287","5,128",51,, N/A ,0,0:00:00,N/A
BCT,8/30/2023,Caribbean ,"2,816",750,100,, N/A ,0,0:00:00,N/A
BCT,9/4/2023, Meraviglia,"4,473","5,451",31,, N/A ,0,0:00:00,N/A
BCT,9/9/2023, Princess,"2,924","2,329",451,, N/A ,0,0:00:00,N/A
BCT,9/10/2023, Meraviglia,"3,891","4,316",63,, N/A ,0,0:00:00,N/A
BCT,9/11/2023,Queen ,"2,132","2,088",311,, No ,0,0:00:00,Unresolved rate issue
BCT,9/16/2023, Princess,"2,897","2,764",29,, N/A ,0,0:00:00,N/A
BCT,9/17/2023, Shadow,4333,,313,, N/A ,0,0:00:00,N/A
BCT,9/18/2023, Meraviglia,"2,714","3,966",55,, N/A ,0,0:00:00,N/A
BCT,9/19/2023,Caribbean,"3,010","2,637",120,, Yes ,"77,345",9:43:57,N/A
BCT,9/20/2023, Discovery,3089,2,"1,762",, N/A ,0,0:00:00,N/A
BCT,9/23/2023, Princess,"1,595","2,758",12,, No ,0,0:00:00,Extreme weather
BCT,9/24/2023, Meraviglia,"2,963","3,966",336,, N/A ,0,0:00:00,N/A
BCT,9/29/2023,Queen ,"3,750","1,478",883,, No ,0,0:00:00,Extreme weather
BCT,9/30/2023, Princess,"3,122","2,918",15,, No ,0,0:00:00,Extreme weather
BCT,10/4/2023, Meraviglia,"2,836","3,710",0,, N/A ,0,0:00:00,N/A
BCT,10/7/2023,Emerald ,"1,421","2,956",9,, Yes ,"68,166",7:41:54,N/A
BCT,10/9/2023,Caribbean ,"2,982","2,617",42,, Yes ,"71,008",9:16:29,N/A
BCT,10/13/2023,Queen,"3,528",750,902,, Yes ,"41,767",5:20:19,N/A
BCT,10/14/2023, Princess,"3,176",750,17,, Yes ,"67,382",8:26:54,N/A
BCT,10/15/2023, Meraviglia,"3,233","3,877",2,, N/A ,0,0:00:00,N/A
BCT,10/21/2023, Princess,12,750,11,, Yes ,"66,437",8:03:56,N/A
BCT,10/25/2023, Meraviglia,"2,764","3,327",410,, N/A ,0,0:00:00,N/A
BCT,10/27/2023,Caribbean ,8,33,"2,394",, Yes ,"93,310",0:31:00,N/A
BCT,10/28/2023,Emerald,"2,591","2,921",26,, Yes ,"47,420",5:42:14,N/A
BCT,10/30/2023, Serenity,4269,16,198,, Yes ,20,0:11:00,Ship was getting their shore power retrofit cerfied by their class and insurance
BCT,11/4/2023, Princess,"3,844","2,637",95,, Yes ,"66,439",8:18:59,N/A
BCT,11/5/2023,Meraviglia,"4,156","3,457",3,, N/A ,0,0:00:00,N/A
BCT,11/13/2023,Meraviglia,"1,809","3,989",148,, N/A ,0,0:00:00,N/A
BCT,11/19/2023,Meraviglia,"4,386","4,005",63,, N/A ,0,0:00:00,N/A
BCT,11/26/2023,Queen ,"4,215","1,545",645,, No ,0,0:00:00,Cancelled shore power connection due to USCG inspection of the vessel 
BCT,11/27/2023, Meraviglia,"1,738","4,086",57,, N/A ,0,0:00:00,N/A
BCT,12/2/2023, Meraviglia,825,"4,256",120,, N/A ,0,0:00:00,N/A
BCT,12/8/2023,Queen ,"2,742","1,740",650,, Partial ,0,0:00:00,Cancelled due to technical issue with the ship's shore power system
BCT,12/9/2023, Meraviglia,"1,889","4,187",3,, N/A ,0,0:00:00,N/A
BCT,12/16/2023, Meraviglia,"5,650","4,206",5,, N/A ,0,0:00:00,N/A
BCT,12/22/2023,Queen,"5,379","1,634",728,, No ,0,0:00:00,Ongoing technical issue with the ship's shore power system
BCT,12/23/2023, Meraviglia,"1,690","2,871",7,, N/A ,0,0:00:00,N/A
BCT,12/30/2023, Meraviglia,801,"5,535",11,, N/A ,0,0:00:00,N/A
BCT,1/3/2024,Queen ,812,"1,811",750,, No ,0,0:00:00,Ongoing technical issue with the ship's shore power system
BCT,1/6/2024, Meraviglia,"2,404","5,205",26,, N/A ,0,0:00:00,N/A
BCT,1/15/2024, Meraviglia,"3,186","2,855",48,, N/A ,0,0:00:00,N/A
BCT,1/26/2024, Meraviglia,"3,950","3,928",55,, N/A ,0,0:00:00,N/A
BCT,2/4/2024, Meraviglia,"5,574","2,349",25,, N/A ,0,0:00:00,N/A
BCT,2/11/2024, Meraviglia,804,"3,161",6,, N/A ,0,0:00:00,N/A
BCT,2/18/2024, Meraviglia,"5,144","3,918",6,, N/A ,0,0:00:00,N/A
BCT,2/25/2024, Meraviglia,"4,867","5,471",2,, N/A ,0,0:00:00,N/A
BCT,3/3/2024, Meraviglia,792,"4,363",2,, N/A ,0,0:00:00,N/A
BCT,3/10/2024, Meraviglia,"4,978","5,122",11,, N/A ,0,0:00:00,N/A
BCT,3/17/2024, Meraviglia,750,"4,728",13,, N/A ,0,0:00:00,N/A
BCT,3/24/2024, Meraviglia,"4,900","4,415",6,, N/A ,0,0:00:00,N/A
